year,pgisced97,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2021,Lower Secondary Level,1st Quintile,,,,,,,,,,,,
2021,Lower Secondary Level,2nd Quintile,,,,,,,,,,,,
2021,Lower Secondary Level,3rd Quintile,,,,,,,,,,,,
2021,Lower Secondary Level,4th Quintile,,,,,,,,,,,,
2021,Lower Secondary Level,5th Quintile,,,,,,,,,,,,
2021,Upper Secondary Level,1st Quintile,,,,,,,,,,,,
2021,Upper Secondary Level,2nd Quintile,,,,,,,,,,,,
2021,Upper Secondary Level,3rd Quintile,,,,,,,,,,,,
2021,Upper Secondary Level,4th Quintile,,,,,,,,,,,,
2021,Upper Secondary Level,5th Quintile,,,,,,,,,,,,
2021,Post-secondary Non-tertiary Level,1st Quintile,,,,,,,,,,,,
2021,Post-secondary Non-tertiary Level,2nd Quintile,,,,,,,,,,,,
2021,Post-secondary Non-tertiary Level,3rd Quintile,,,,,,,,,,,,
2021,Post-secondary Non-tertiary Level,4th Quintile,,,,,,,,,,,,
2021,Post-secondary Non-tertiary Level,5th Quintile,,,,,,,,,,,,
2021,First Stage of Tertiary Education,1st Quintile,,,,,,,,,,,,
2021,First Stage of Tertiary Education,2nd Quintile,,,,,,,,,,,,
2021,First Stage of Tertiary Education,3rd Quintile,,,,,,,,,,,,
2021,First Stage of Tertiary Education,4th Quintile,,,,,,,,,,,,
2021,First Stage of Tertiary Education,5th Quintile,,,,,,,,,,,,
2021,Second Stage of Tertiary Education,1st Quintile,,,,,,,,,,,,
2021,Second Stage of Tertiary Education,2nd Quintile,,,,,,,,,,,,
2021,Second Stage of Tertiary Education,3rd Quintile,,,,,,,,,,,,
2021,Second Stage of Tertiary Education,4th Quintile,,,,,,,,,,,,
2021,Second Stage of Tertiary Education,5th Quintile,,,,,,,,,,,,
2022,Pre-primary Level,1st Quintile,,,,,,,,,,,,
2022,Pre-primary Level,2nd Quintile,,,,,,,,,,,,
2022,Pre-primary Level,3rd Quintile,,,,,,,,,,,,
2022,Pre-primary Level,4th Quintile,,,,,,,,,,,,
2022,Pre-primary Level,5th Quintile,,,,,,,,,,,,
2022,Primary Level,1st Quintile,,,,,,,,,,,,
2022,Primary Level,2nd Quintile,,,,,,,,,,,,
2022,Primary Level,3rd Quintile,,,,,,,,,,,,
2022,Primary Level,4th Quintile,,,,,,,,,,,,
2022,Primary Level,5th Quintile,,,,,,,,,,,,
2022,Lower Secondary Level,1st Quintile,,,,,,,,,,,,
2022,Lower Secondary Level,2nd Quintile,,,,,,,,,,,,
2022,Lower Secondary Level,3rd Quintile,,,,,,,,,,,,
2022,Lower Secondary Level,4th Quintile,,,,,,,,,,,,
2022,Lower Secondary Level,5th Quintile,,,,,,,,,,,,
2022,Upper Secondary Level,1st Quintile,,,,,,,,,,,,
2022,Upper Secondary Level,2nd Quintile,,,,,,,,,,,,
2022,Upper Secondary Level,3rd Quintile,,,,,,,,,,,,
2022,Upper Secondary Level,4th Quintile,,,,,,,,,,,,
2022,Upper Secondary Level,5th Quintile,,,,,,,,,,,,
2022,Post-secondary Non-tertiary Level,1st Quintile,,,,,,,,,,,,
2022,Post-secondary Non-tertiary Level,2nd Quintile,,,,,,,,,,,,
2022,Post-secondary Non-tertiary Level,3rd Quintile,,,,,,,,,,,,
2022,Post-secondary Non-tertiary Level,4th Quintile,,,,,,,,,,,,
2022,Post-secondary Non-tertiary Level,5th Quintile,,,,,,,,,,,,
2022,First Stage of Tertiary Education,1st Quintile,,,,,,,,,,,,
2022,First Stage of Tertiary Education,2nd Quintile,,,,,,,,,,,,
2022,First Stage of Tertiary Education,3rd Quintile,,,,,,,,,,,,
2022,First Stage of Tertiary Education,4th Quintile,,,,,,,,,,,,
2022,First Stage of Tertiary Education,5th Quintile,,,,,,,,,,,,
2022,Second Stage of Tertiary Education,1st Quintile,,,,,,,,,,,,
2022,Second Stage of Tertiary Education,2nd Quintile,,,,,,,,,,,,
2022,Second Stage of Tertiary Education,3rd Quintile,,,,,,,,,,,,
2022,Second Stage of Tertiary Education,4th Quintile,,,,,,,,,,,,
2022,Second Stage of Tertiary Education,5th Quintile,,,,,,,,,,,,
