year,quintil_oecd_hh,rentown,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,3rd Quintile,Tenant,Yes,0.07255,97,1267,0.05826,0.08683
2001,3rd Quintile,Tenant,No,0.92745,1170,1267,0.91317,0.94174
2001,4th Quintile,Owner,Yes,0.06119,92,1331,0.04831,0.07407
2001,4th Quintile,Owner,No,0.93881,1239,1331,0.92593,0.95169
2001,4th Quintile,Tenant,Yes,0.07005,85,1038,0.05451,0.08558
2001,4th Quintile,Tenant,No,0.92995,953,1038,0.91442,0.94549
2001,5th Quintile,Owner,Yes,0.05047,73,1461,0.03924,0.06170
2001,5th Quintile,Owner,No,0.94953,1388,1461,0.93830,0.96076
2001,5th Quintile,Tenant,No,0.96292,691,691,0.94882,0.97702
2006,1st Quintile,Owner,No,0.93684,326,326,0.91040,0.96329
2006,1st Quintile,Tenant,Yes,0.05594,105,1742,0.04514,0.06673
2006,1st Quintile,Tenant,No,0.94406,1637,1742,0.93327,0.95486
2006,2nd Quintile,Owner,Yes,0.07789,62,805,0.05937,0.09642
2006,2nd Quintile,Owner,No,0.92211,743,805,0.90358,0.94063
2006,2nd Quintile,Tenant,Yes,0.04824,77,1417,0.03708,0.05940
2006,2nd Quintile,Tenant,No,0.95176,1340,1417,0.94060,0.96292
2006,3rd Quintile,Owner,Yes,0.06605,74,1191,0.05193,0.08016
2006,3rd Quintile,Owner,No,0.93395,1117,1191,0.91984,0.94807
2006,3rd Quintile,Tenant,Yes,0.05335,70,1195,0.04061,0.06610
2006,3rd Quintile,Tenant,No,0.94665,1125,1195,0.93390,0.95939
2006,4th Quintile,Owner,Yes,0.05755,95,1485,0.04570,0.06940
2006,4th Quintile,Owner,No,0.94245,1390,1485,0.93060,0.95430
2006,4th Quintile,Tenant,Yes,0.03785,41,1008,0.02607,0.04964
2006,4th Quintile,Tenant,No,0.96215,967,1008,0.95036,0.97393
2006,5th Quintile,Owner,Yes,0.04134,90,2167,0.03296,0.04973
2006,5th Quintile,Owner,No,0.95866,2077,2167,0.95027,0.96704
2006,5th Quintile,Tenant,No,0.97762,863,863,0.96774,0.98749
2011,1st Quintile,Owner,No,0.93729,358,358,0.91214,0.96244
2011,1st Quintile,Tenant,Yes,0.04122,103,1872,0.03221,0.05022
2011,1st Quintile,Tenant,No,0.95878,1769,1872,0.94978,0.96779
2011,2nd Quintile,Owner,Yes,0.04852,42,861,0.03416,0.06288
2011,2nd Quintile,Owner,No,0.95148,819,861,0.93712,0.96584
2011,2nd Quintile,Tenant,Yes,0.03786,60,1378,0.02778,0.04794
2011,2nd Quintile,Tenant,No,0.96214,1318,1378,0.95206,0.97222
2011,3rd Quintile,Owner,Yes,0.04362,50,1232,0.03221,0.05503
2011,3rd Quintile,Owner,No,0.95638,1182,1232,0.94497,0.96779
2011,3rd Quintile,Tenant,Yes,0.03982,52,1143,0.02848,0.05116
2011,3rd Quintile,Tenant,No,0.96018,1091,1143,0.94884,0.97152
2011,4th Quintile,Owner,Yes,0.04451,63,1470,0.03396,0.05505
2011,4th Quintile,Owner,No,0.95549,1407,1470,0.94495,0.96604
2011,4th Quintile,Tenant,Yes,0.03961,31,966,0.02730,0.05192
2011,4th Quintile,Tenant,No,0.96039,935,966,0.94808,0.97270
2011,5th Quintile,Owner,Yes,0.02102,48,1998,0.01473,0.02731
2011,5th Quintile,Owner,No,0.97898,1950,1998,0.97269,0.98527
2011,5th Quintile,Tenant,No,0.98370,763,763,0.97471,0.99269
2016,1st Quintile,Owner,No,0.96467,374,374,0.94594,0.98341
2016,1st Quintile,Tenant,Yes,0.03694,102,2699,0.02982,0.04406
2016,1st Quintile,Tenant,No,0.96306,2597,2699,0.95594,0.97018
2016,2nd Quintile,Owner,Yes,0.03657,52,1026,0.02508,0.04806
2016,2nd Quintile,Owner,No,0.96343,974,1026,0.95194,0.97492
2016,2nd Quintile,Tenant,Yes,0.02635,53,2015,0.01936,0.03335
2016,2nd Quintile,Tenant,No,0.97365,1962,2015,0.96665,0.98064
2016,3rd Quintile,Owner,Yes,0.02782,52,1341,0.01902,0.03663
2016,3rd Quintile,Owner,No,0.97218,1289,1341,0.96337,0.98098
2016,3rd Quintile,Tenant,Yes,0.03085,47,1402,0.02179,0.03990
2016,3rd Quintile,Tenant,No,0.96915,1355,1402,0.96010,0.97821
2016,4th Quintile,Owner,Yes,0.02554,48,1561,0.01771,0.03336
2016,4th Quintile,Owner,No,0.97446,1513,1561,0.96664,0.98229
2016,4th Quintile,Tenant,No,0.97089,1078,1078,0.96085,0.98093
2016,5th Quintile,Owner,Yes,0.01462,39,1978,0.00933,0.01992
2016,5th Quintile,Owner,No,0.98538,1939,1978,0.98008,0.99067
2016,5th Quintile,Tenant,No,0.98593,769,769,0.97760,0.99426
2021,1st Quintile,Owner,No,0.96982,260,260,0.94898,0.99066
2021,1st Quintile,Tenant,Yes,0.02191,44,1771,0.01509,0.02873
2021,1st Quintile,Tenant,No,0.97809,1727,1771,0.97127,0.98491
2021,2nd Quintile,Owner,Yes,0.04475,31,679,0.02919,0.06031
2021,2nd Quintile,Owner,No,0.95525,648,679,0.93969,0.97081
2021,2nd Quintile,Tenant,Yes,0.01996,33,1503,0.01288,0.02703
2021,2nd Quintile,Tenant,No,0.98004,1470,1503,0.97297,0.98712
2021,3rd Quintile,Owner,Yes,0.02074,35,927,0.01156,0.02992
2021,3rd Quintile,Owner,No,0.97926,892,927,0.97008,0.98844
2021,3rd Quintile,Tenant,No,0.98931,1080,1080,0.98317,0.99545
2021,4th Quintile,Owner,Yes,0.02782,42,1211,0.01855,0.03709
2021,4th Quintile,Owner,No,0.97218,1169,1211,0.96291,0.98145
2021,4th Quintile,Tenant,No,0.97848,852,852,0.96873,0.98823
2021,5th Quintile,Owner,No,0.98948,1962,1962,0.98497,0.99400
2021,5th Quintile,Tenant,No,0.99466,714,714,0.98931,1.00001
