"ple0008","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Weniger gut","1994","Hauptschule","1020","0.182529541988463","0.172827971126136","0.192231112850791"
"Weniger gut","1994","Realschule","297","0.12382152206172","0.112120598920095","0.135522445203345"
"Weniger gut","1994","(Fach-)Abitur","86","0.109506540952786","0.0893389662985132","0.129674115607058"
"Weniger gut","1994","AkademikerIn","183","0.111604443348086","0.0964066094064922","0.126802277289681"
"Schlecht","1994","(noch) kein Abschluss","44","0.0539027149571968","0.0386764650086429","0.0691289649057507"
"Schlecht","1994","Hauptschule","312","0.0639736911101112","0.05782780968415","0.0701195725360725"
"Schlecht","1994","Realschule","41","0.0156354749265175","0.0112283102073107","0.0200426396457243"
"Schlecht","1994","(Fach-)Abitur","25","","",""
"Schlecht","1994","AkademikerIn","36","0.0248484152891243","0.0173352459584567","0.0323615846197918"
"Sehr gut","1995","(noch) kein Abschluss","122","0.176343078939159","0.151105457388945","0.201580700489372"
"Sehr gut","1995","Hauptschule","457","0.0577097539360303","0.0518602071895836","0.0635593006824771"
"Sehr gut","1995","Realschule","342","0.0923816881434997","0.0822064951031037","0.102556881183896"
"Sehr gut","1995","(Fach-)Abitur","156","0.14040411465919","0.119490348872575","0.161317880445804"
"Sehr gut","1995","AkademikerIn","170","0.0898572609625767","0.076450967576434","0.103263554348719"
"Gut","1995","(noch) kein Abschluss","341","0.422796666703894","0.39008322553606","0.455510107871727"
"Gut","1995","Hauptschule","2153","0.315394356904553","0.303738278676105","0.327050435133"
"Gut","1995","Realschule","1461","0.445902936279029","0.428436223615502","0.463369648942556"
"Gut","1995","(Fach-)Abitur","547","0.525008886441925","0.494946654035989","0.555071118847861"
"Gut","1995","AkademikerIn","790","0.443592082672411","0.420302274015307","0.466881891329515"
"Zufriedenstellend","1995","(noch) kein Abschluss","237","0.23458014097977","0.206519891861056","0.262640390098483"
"Zufriedenstellend","1995","Hauptschule","2123","0.373354093212435","0.361220852351624","0.385487334073246"
"Zufriedenstellend","1995","Realschule","946","0.3240412461403","0.307595320184499","0.340487172096102"
"Zufriedenstellend","1995","(Fach-)Abitur","252","0.234220953758777","0.208725674676547","0.259716232841007"
"Zufriedenstellend","1995","AkademikerIn","584","0.346034718151378","0.323734220206646","0.368335216096111"
"Weniger gut","1995","(noch) kein Abschluss","139","0.135552577841679","0.112884263819459","0.158220891863899"
"Weniger gut","1995","Hauptschule","1056","0.192167404888971","0.182284017785338","0.202050791992605"
"Weniger gut","1995","Realschule","308","0.110664288894952","0.0996404032331576","0.121688174556747"
"Weniger gut","1995","(Fach-)Abitur","82","0.0811600104285575","0.0647206033566287","0.0975994175004862"
"Weniger gut","1995","AkademikerIn","168","0.103563822344218","0.0892801098524728","0.117847534835962"
"Schlecht","1995","(noch) kein Abschluss","37","0.0307275355354997","0.0192992037471154","0.042155867323884"
"Schlecht","1995","Hauptschule","316","0.0613743910580105","0.0553537178577272","0.0673950642582939"
"Schlecht","1995","Realschule","54","0.0270098405422188","0.0213132721008574","0.0327064089835802"
"Schlecht","1995","(Fach-)Abitur","23","","",""
"Schlecht","1995","AkademikerIn","36","0.0169521158694161","0.0109004259208679","0.0230038058179642"
"Sehr gut","1996","(noch) kein Abschluss","133","0.188596914839353","0.162126988669242","0.215066841009463"
"Sehr gut","1996","Hauptschule","423","0.0543957070015804","0.0486228021924762","0.0601686118106846"
"Sehr gut","1996","Realschule","345","0.0960124911597746","0.0856617039458398","0.106363278373709"
"Sehr gut","1996","(Fach-)Abitur","169","0.156141610801613","0.133962990928693","0.178320230674533"
"Sehr gut","1996","AkademikerIn","159","0.0912744765383775","0.0778271429799166","0.104721810096838"
"Gut","1996","(noch) kein Abschluss","305","0.373453449339657","0.340722242404104","0.40618465627521"
"Gut","1996","Hauptschule","1960","0.297754056808852","0.286114650494913","0.309393463122792"
"Gut","1996","Realschule","1462","0.443904786154872","0.426448663320506","0.461360908989237"
"Gut","1996","(Fach-)Abitur","522","0.494988712310444","0.464440303490346","0.525537121130543"
"Gut","1996","AkademikerIn","834","0.474863804791482","0.451547181856886","0.498180427726078"
"Zufriedenstellend","1996","(noch) kein Abschluss","234","0.253836593924708","0.224388228100854","0.283284959748562"
"Zufriedenstellend","1996","Hauptschule","2277","0.405702155876014","0.393203506038744","0.418200805713284"
"Zufriedenstellend","1996","Realschule","961","0.328845835524434","0.312340072153985","0.345351598894882"
"Zufriedenstellend","1996","(Fach-)Abitur","239","0.239028232691279","0.212969740902301","0.265086724480256"
"Zufriedenstellend","1996","AkademikerIn","552","0.307203434090912","0.285662673435193","0.328744194746631"
"Weniger gut","1996","(noch) kein Abschluss","125","0.124562418894944","0.10221778618409","0.146907051605798"
"Weniger gut","1996","Hauptschule","980","0.184090177820996","0.174225253562957","0.193955102079035"
"Weniger gut","1996","Realschule","287","0.108057400280366","0.09714993077343","0.118964869787302"
"Weniger gut","1996","(Fach-)Abitur","75","0.0870887350826765","0.0698607027542581","0.104316767411095"
"Weniger gut","1996","AkademikerIn","183","0.104026612675948","0.0897716881355836","0.118281537216313"
"Schlecht","1996","(noch) kein Abschluss","42","0.0595506230013383","0.0435374285722159","0.0755638174304606"
"Schlecht","1996","Hauptschule","289","0.0580579024925569","0.0521053924040119","0.064010412581102"
"Schlecht","1996","Realschule","57","0.023179486880554","0.0178927512764372","0.0284662224846708"
"Schlecht","1996","(Fach-)Abitur","24","","",""
"Schlecht","1996","AkademikerIn","34","0.0226316719032801","0.0156873061135695","0.0295760376929908"
"Sehr gut","1997","(noch) kein Abschluss","132","0.196427832304743","0.169431772412217","0.223423892197269"
"Sehr gut","1997","Hauptschule","385","0.0560521645045343","0.0501134291465868","0.0619908998624819"
"Sehr gut","1997","Realschule","307","0.0911734298283286","0.080999231831454","0.101347627825203"
"Sehr gut","1997","(Fach-)Abitur","144","0.1492462322132","0.127357135980074","0.171135328446327"
"Sehr gut","1997","AkademikerIn","143","0.0872125541631753","0.0740497000431222","0.100375408283228"
"Gut","1997","(noch) kein Abschluss","334","0.400849395487211","0.367549333243241","0.43414945773118"
"Gut","1997","Hauptschule","2015","0.302829602692969","0.290966660511902","0.314692544874036"
"Gut","1997","Realschule","1505","0.45366110973832","0.436064768946356","0.471257450530284"
"Gut","1997","(Fach-)Abitur","530","0.492727337637491","0.462016033392156","0.523438641882827"
"Gut","1997","AkademikerIn","867","0.474624170109846","0.451327936854523","0.497920403365168"
"Zufriedenstellend","1997","(noch) kein Abschluss","215","0.241146151381892","0.212078786258774","0.270213516505011"
"Zufriedenstellend","1997","Hauptschule","2127","0.397416802838001","0.384782380142475","0.410051225533528"
"Zufriedenstellend","1997","Realschule","938","0.326624952167092","0.31004899101528","0.343200913318905"
"Zufriedenstellend","1997","(Fach-)Abitur","245","0.260626399304692","0.233660471089475","0.28759232751991"
"Zufriedenstellend","1997","AkademikerIn","558","0.317008963752489","0.295301003916556","0.338716923588423"
"Weniger gut","1997","(noch) kein Abschluss","113","0.127446652062391","0.104787344298119","0.150105959826663"
"Weniger gut","1997","Hauptschule","938","0.181534843653519","0.171582992388271","0.191486694918768"
"Weniger gut","1997","Realschule","263","0.0995363215340017","0.0889547682250773","0.110117874842926"
"Weniger gut","1997","(Fach-)Abitur","80","0.0838733572206753","0.0668453442528273","0.100901370188523"
"Weniger gut","1997","AkademikerIn","169","0.103851878475763","0.0896196530560972","0.118084103895428"
"Schlecht","1997","(noch) kein Abschluss","38","0.0341299687637632","0.0217928507578832","0.0464670867696433"
"Schlecht","1997","Hauptschule","298","0.0621665863109758","0.0559326100772187","0.068400562544733"
"Schlecht","1997","Realschule","62","0.0290041867322574","0.0230726864435372","0.0349356870209776"
"Schlecht","1997","(Fach-)Abitur","19","","",""
"Schlecht","1997","AkademikerIn","28","","",""
"Sehr gut","1998","(noch) kein Abschluss","141","0.213685466242995","0.185663550292068","0.241707382193921"
"Sehr gut","1998","Hauptschule","483","0.0686203081411754","0.0623163422725914","0.0749242740097594"
"Sehr gut","1998","Realschule","379","0.102752625817014","0.0925344650411276","0.1129707865929"
"Sehr gut","1998","(Fach-)Abitur","169","0.147183543007045","0.126671298014639","0.167695787999451"
"Sehr gut","1998","AkademikerIn","195","0.114768781651911","0.100668487020438","0.128869076283385"
"Gut","1998","(noch) kein Abschluss","343","0.395260292419455","0.361837862691058","0.428682722147851"
"Gut","1998","Hauptschule","2186","0.321644287701882","0.309996570876478","0.333292004527286"
"Gut","1998","Realschule","1672","0.467598116547661","0.450807125216294","0.484389107879028"
"Gut","1998","(Fach-)Abitur","618","0.518049313123983","0.489119699385113","0.546978926862854"
"Gut","1998","AkademikerIn","956","0.467522067162208","0.445450162803101","0.489593971521314"
"Zufriedenstellend","1998","(noch) kein Abschluss","186","0.216007446154486","0.187875322845796","0.244139569463175"
"Zufriedenstellend","1998","Hauptschule","2222","0.373831329542363","0.361766876040477","0.385895783044248"
"Zufriedenstellend","1998","Realschule","985","0.306807926775419","0.291288336512829","0.322327517038009"
"Zufriedenstellend","1998","(Fach-)Abitur","254","0.240710328653501","0.215958522723596","0.265462134583406"
"Zufriedenstellend","1998","AkademikerIn","580","0.286397928979067","0.266399267518149","0.306396590439986"
"Weniger gut","1998","(noch) kein Abschluss","112","0.117006290389738","0.0950329748458184","0.138979605933657"
"Weniger gut","1998","Hauptschule","973","0.175840092590513","0.166347412769345","0.185332772411682"
"Weniger gut","1998","Realschule","294","0.0991404950792872","0.0890833609219117","0.109197629236663"
"Weniger gut","1998","(Fach-)Abitur","83","0.0733795275910591","0.0582824049338466","0.0884766502482716"
"Weniger gut","1998","AkademikerIn","185","0.104061081446016","0.0905536954781764","0.117568467413856"
"Schlecht","1998","(noch) kein Abschluss","40","0.058040504793327","0.0420561950439391","0.0740248145427148"
"Schlecht","1998","Hauptschule","314","0.0600639820240667","0.0541390912911811","0.0659888727569523"
"Schlecht","1998","Realschule","62","0.0237008357806192","0.0185817376062127","0.0288199339550256"
"Schlecht","1998","(Fach-)Abitur","22","","",""
"Schlecht","1998","AkademikerIn","47","0.0272501407607976","0.0200478126131388","0.0344524689084564"
"Sehr gut","1999","(noch) kein Abschluss","122","0.182032401975731","0.155073442559916","0.208991361391545"
"Sehr gut","1999","Hauptschule","417","0.058087003828964","0.0521713832702668","0.0640026243876612"
"Sehr gut","1999","Realschule","317","0.093244877787359","0.0834435930414152","0.103046162533303"
"Sehr gut","1999","(Fach-)Abitur","184","0.176038448133336","0.153871862503965","0.198205033762707"
"Sehr gut","1999","AkademikerIn","188","0.0975245259949272","0.0843704471853045","0.11067860480455"
"Gut","1999","(noch) kein Abschluss","323","0.392854228326489","0.358733135820018","0.426975320832959"
"Gut","1999","Hauptschule","2072","0.315865964866866","0.304109481285413","0.32762244844832"
"Gut","1999","Realschule","1642","0.458044777313938","0.441250505560468","0.474839049067408"
"Gut","1999","(Fach-)Abitur","569","0.484056019110373","0.454969573636221","0.513142464584525"
"Gut","1999","AkademikerIn","904","0.458789574749953","0.436695508162618","0.480883641337287"
"Zufriedenstellend","1999","(noch) kein Abschluss","199","0.24975099856256","0.219508542766895","0.279993454358224"
"Zufriedenstellend","1999","Hauptschule","2218","0.380273654869747","0.367996336274684","0.392550973464811"
"Zufriedenstellend","1999","Realschule","1065","0.32604356409348","0.310242758342446","0.341844369844515"
"Zufriedenstellend","1999","(Fach-)Abitur","261","0.221883099137494","0.197699212436572","0.246066985838416"
"Zufriedenstellend","1999","AkademikerIn","626","0.314157557358929","0.293576307464142","0.334738807253716"
"Weniger gut","1999","(noch) kein Abschluss","101","0.124864935784474","0.101769906541029","0.147959965027919"
"Weniger gut","1999","Hauptschule","990","0.183313358031444","0.173527921380786","0.193098794682103"
"Weniger gut","1999","Realschule","303","0.103072341551622","0.0928234880569034","0.113321195046341"
"Weniger gut","1999","(Fach-)Abitur","98","0.0963709108096683","0.0791954005947194","0.113546421024617"
"Weniger gut","1999","AkademikerIn","181","0.0960165257038144","0.0829536422967962","0.109079409110833"
"Schlecht","1999","(noch) kein Abschluss","42","0.0504974353507467","0.0351991253594882","0.0657957453420052"
"Schlecht","1999","Hauptschule","309","0.0624600184029778","0.0563400190010571","0.0685800178048986"
"Schlecht","1999","Realschule","54","0.0195944392535999","0.0149225255915872","0.0242663529156127"
"Schlecht","1999","(Fach-)Abitur","22","","",""
"Schlecht","1999","AkademikerIn","55","0.0335118161923767","0.0255321804241024","0.0414914519606511"
"Sehr gut","2000","(noch) kein Abschluss","211","0.223154173690271","0.196191045309292","0.250117302071251"
"Sehr gut","2000","Hauptschule","767","0.0696026215108281","0.0647729821895806","0.0744322608320755"
"Sehr gut","2000","Realschule","786","0.126912703590858","0.118678552762701","0.135146854419014"
"Sehr gut","2000","(Fach-)Abitur","418","0.177417200188898","0.16195854323001","0.192875857147786"
"Sehr gut","2000","AkademikerIn","489","0.134849631789633","0.124009653120218","0.145689610459049"
"Gut","2000","(noch) kein Abschluss","339","0.369801540909636","0.338539064221734","0.401064017597537"
"Gut","2000","Hauptschule","3537","0.30977952059254","0.301003696017345","0.318555345167735"
"Gut","2000","Realschule","2950","0.446786697192925","0.434488715006796","0.459084679379054"
"Gut","2000","(Fach-)Abitur","1127","0.461976463821589","0.441802341510064","0.482150586133114"
"Gut","2000","AkademikerIn","1781","0.447644895572256","0.43186392351369","0.463425867630822"
"Zufriedenstellend","2000","(noch) kein Abschluss","222","0.239817845815757","0.212167540065977","0.267468151565537"
"Zufriedenstellend","2000","Hauptschule","3981","0.384736579880393","0.375502790828207","0.393970368932579"
"Zufriedenstellend","2000","Realschule","1903","0.314624031514998","0.303137264365751","0.326110798664246"
"Zufriedenstellend","2000","(Fach-)Abitur","558","0.248066231545897","0.230589600968214","0.26554286212358"
"Zufriedenstellend","2000","AkademikerIn","1132","0.304942540062508","0.290331635369199","0.319553444755817"
"Weniger gut","2000","(noch) kein Abschluss","109","0.119632054674044","0.0986157553275066","0.140648354020582"
"Weniger gut","2000","Hauptschule","1795","0.176940397513766","0.169697759104056","0.184183035923475"
"Weniger gut","2000","Realschule","529","0.0900957008439236","0.0830131887004674","0.0971782129873797"
"Weniger gut","2000","(Fach-)Abitur","204","0.0914764515877771","0.0798108581590744","0.10314204501648"
"Weniger gut","2000","AkademikerIn","340","0.0910827662910484","0.0819513525328166","0.10021418004928"
"Schlecht","2000","(noch) kein Abschluss","35","0.0475943849102914","0.0338067686647991","0.0613820011557836"
"Schlecht","2000","Hauptschule","585","0.0589408805024729","0.0544711182385983","0.0634106427663476"
"Schlecht","2000","Realschule","110","0.0215808668572957","0.0179864011349745","0.0251753325796169"
"Schlecht","2000","(Fach-)Abitur","39","0.0210636528558388","0.0152529568094843","0.0268743489021933"
"Schlecht","2000","AkademikerIn","72","0.0214801662845545","0.0168790693536022","0.0260812632155068"
"Sehr gut","2001","(noch) kein Abschluss","243","0.272964535841906","0.243311480144187","0.302617591539625"
"Sehr gut","2001","Hauptschule","686","0.0726551221265958","0.067402766374243","0.0779074778789487"
"Sehr gut","2001","Realschule","708","0.118758920807914","0.110413169910162","0.127104671705665"
"Sehr gut","2001","(Fach-)Abitur","364","0.158307687688844","0.143119808885471","0.173495566492216"
"Sehr gut","2001","AkademikerIn","401","0.128970325401249","0.117934015471814","0.140006635330683"
"Gut","2001","(noch) kein Abschluss","320","0.363200556384891","0.331188532482799","0.395212580286983"
"Gut","2001","Hauptschule","3081","0.309756766735237","0.300400300453963","0.319113233016511"
"Gut","2001","Realschule","2684","0.442668480574406","0.429854589372842","0.455482371775971"
"Gut","2001","(Fach-)Abitur","1046","0.455688966951116","0.434967177078922","0.47641075682331"
"Gut","2001","AkademikerIn","1620","0.437858378083654","0.42152213383583","0.454194622331478"
"Zufriedenstellend","2001","(noch) kein Abschluss","175","0.1970382099532","0.170561671263308","0.223514748643093"
"Zufriedenstellend","2001","Hauptschule","3545","0.38349711183199","0.373658156628365","0.393336067035614"
"Zufriedenstellend","2001","Realschule","1725","0.312970087123832","0.301007526040258","0.324932648207405"
"Zufriedenstellend","2001","(Fach-)Abitur","582","0.270050907800014","0.251577860294567","0.28852395530546"
"Zufriedenstellend","2001","AkademikerIn","1093","0.300857400230076","0.285755703430078","0.315959097030074"
"Weniger gut","2001","(noch) kein Abschluss","109","0.145358755231059","0.121897509738678","0.16882000072344"
"Weniger gut","2001","Hauptschule","1567","0.175255699494341","0.167562692744448","0.182948706244234"
"Weniger gut","2001","Realschule","539","0.103580314886775","0.0957192888312075","0.111441340942342"
"Weniger gut","2001","(Fach-)Abitur","178","0.0895549688119937","0.0776742929186178","0.10143564470537"
"Weniger gut","2001","AkademikerIn","348","0.106552150952425","0.0963925130587099","0.11671178884614"
"Schlecht","2001","(noch) kein Abschluss","20","","",""
"Schlecht","2001","Hauptschule","503","0.0588352998118369","0.0540737078420205","0.0635968917816533"
"Schlecht","2001","Realschule","116","0.0220221966070738","0.0182362041308349","0.0258081890833126"
"Schlecht","2001","(Fach-)Abitur","49","0.0263974687480329","0.0197272292265393","0.0330677082695264"
"Schlecht","2001","AkademikerIn","81","0.0257617453325963","0.0205452028860925","0.0309782877791"
"Sehr gut","2002","(noch) kein Abschluss","244","0.257604244089073","0.229143995140172","0.286064493037974"
"Sehr gut","2002","Hauptschule","524","0.0578989573300945","0.0530475915783543","0.0627503230818347"
"Sehr gut","2002","Realschule","640","0.10017446435118","0.0925649810160471","0.107783947686314"
"Sehr gut","2002","(Fach-)Abitur","414","0.158789172688142","0.144323097166697","0.173255248209587"
"Sehr gut","2002","AkademikerIn","483","0.0960045892005055","0.0874446337904873","0.104564544610524"
"Gut","2002","(noch) kein Abschluss","364","0.359914742648157","0.328678184245305","0.39115130105101"
"Gut","2002","Hauptschule","2899","0.306414545435534","0.296838535645509","0.315990555225559"
"Gut","2002","Realschule","2772","0.446378430804778","0.43377886437674","0.458977997232815"
"Gut","2002","(Fach-)Abitur","1173","0.448540415502389","0.42885495887388","0.468225872130897"
"Gut","2002","AkademikerIn","2171","0.452275723161122","0.437813834077379","0.466737612244865"
"Zufriedenstellend","2002","(noch) kein Abschluss","180","0.229678624576258","0.202304470243983","0.257052778908534"
"Zufriedenstellend","2002","Hauptschule","3408","0.391366158922905","0.381228221938893","0.401504095906917"
"Zufriedenstellend","2002","Realschule","1869","0.327879717071352","0.315981598965017","0.339777835177688"
"Zufriedenstellend","2002","(Fach-)Abitur","616","0.265971777592434","0.248482896895115","0.283460658289754"
"Zufriedenstellend","2002","AkademikerIn","1407","0.326309087379","0.312685630495036","0.339932544262964"
"Weniger gut","2002","(noch) kein Abschluss","96","0.115854095146403","0.0950253976709415","0.136682792621864"
"Weniger gut","2002","Hauptschule","1576","0.18204280423877","0.17402727963647","0.19005832884107"
"Weniger gut","2002","Realschule","577","0.10247119258146","0.0947847994602191","0.1101575857027"
"Weniger gut","2002","(Fach-)Abitur","204","0.102791160824124","0.0907709380909481","0.114811383557301"
"Weniger gut","2002","AkademikerIn","418","0.10268148191495","0.0938616202837433","0.111501343546157"
"Schlecht","2002","(noch) kein Abschluss","23","","",""
"Schlecht","2002","Hauptschule","496","0.0622775340726962","0.0572577762081789","0.0672972919372135"
"Schlecht","2002","Realschule","122","0.0230961951912301","0.0192891010144274","0.0269032893680329"
"Schlecht","2002","(Fach-)Abitur","45","0.0239074733929107","0.0178610271997812","0.0299539195860403"
"Schlecht","2002","AkademikerIn","71","0.0227291183444224","0.0183985871922232","0.0270596494966216"
"Sehr gut","2003","(noch) kein Abschluss","230","0.240188451421578","0.212153831663851","0.268223071179305"
"Sehr gut","2003","Hauptschule","489","0.0587141096297408","0.0537001564043265","0.0637280628551551"
"Sehr gut","2003","Realschule","575","0.0973992486334418","0.0897527934505344","0.105045703816349"
"Sehr gut","2003","(Fach-)Abitur","379","0.13298764427558","0.119422377604059","0.1465529109471"
"Sehr gut","2003","AkademikerIn","496","0.104881965746362","0.0957724814222716","0.113991450070453"
"Gut","2003","(noch) kein Abschluss","354","0.370852484992703","0.339153708231485","0.402551261753921"
"Gut","2003","Hauptschule","2870","0.323895790467918","0.313915165521897","0.33387641541394"
"Gut","2003","Realschule","2653","0.439480531256126","0.426680834814607","0.452280227697645"
"Gut","2003","(Fach-)Abitur","1206","0.492160942448487","0.47218870741706","0.512133177479913"
"Gut","2003","AkademikerIn","2077","0.457081488621308","0.44227106873017","0.471891908512446"
"Zufriedenstellend","2003","(noch) kein Abschluss","193","0.217214408886124","0.190154184676532","0.244274633095716"
"Zufriedenstellend","2003","Hauptschule","3095","0.367949894969803","0.357664561909024","0.378235228030582"
"Zufriedenstellend","2003","Realschule","1837","0.328740346241753","0.316625824459417","0.34085486802409"
"Zufriedenstellend","2003","(Fach-)Abitur","584","0.261665024454081","0.244105627167662","0.2792244217405"
"Zufriedenstellend","2003","AkademikerIn","1252","0.299346951139587","0.285731182673174","0.312962719606"
"Weniger gut","2003","(noch) kein Abschluss","91","0.127914063210106","0.105995885052158","0.149832241368054"
"Weniger gut","2003","Hauptschule","1493","0.18366631304294","0.175407894731182","0.191924731354698"
"Weniger gut","2003","Realschule","592","0.108906545898251","0.100872707021113","0.11694038477539"
"Weniger gut","2003","(Fach-)Abitur","203","0.0957590666542641","0.0840035402978685","0.10751459301066"
"Weniger gut","2003","AkademikerIn","438","0.112138554194225","0.10275746413787","0.121519644250581"
"Schlecht","2003","(noch) kein Abschluss","24","","",""
"Schlecht","2003","Hauptschule","498","0.0657738918895972","0.0604869926418557","0.0710607911373387"
"Schlecht","2003","Realschule","119","0.0254733279704281","0.0214100717649059","0.0295365841759503"
"Schlecht","2003","(Fach-)Abitur","35","0.0174273221675887","0.0121996575489056","0.0226549867862719"
"Schlecht","2003","AkademikerIn","83","0.0265510402985174","0.0217713407953725","0.0313307398016623"
"Sehr gut","2004","(noch) kein Abschluss","237","0.227485745809698","0.200203834493851","0.254767657125545"
"Sehr gut","2004","Hauptschule","484","0.0629386608961455","0.0576352157895858","0.0682421060027052"
"Sehr gut","2004","Realschule","581","0.105379316172497","0.0973461562051143","0.11341247613988"
"Sehr gut","2004","(Fach-)Abitur","392","0.156989562842781","0.142426056816579","0.171553068868983"
"Sehr gut","2004","AkademikerIn","427","0.0992087300855275","0.0902611059524992","0.108156354218556"
"Gut","2004","(noch) kein Abschluss","383","0.380593926879069","0.348995671549929","0.412192182208208"
"Gut","2004","Hauptschule","2640","0.30843826681639","0.298352360666475","0.318524172966305"
"Gut","2004","Realschule","2542","0.427822583573316","0.414878048127402","0.440767119019229"
"Gut","2004","(Fach-)Abitur","1177","0.461837075168211","0.44187915144125","0.481794998895172"
"Gut","2004","AkademikerIn","2061","0.443476482852324","0.428606935079977","0.458346030624671"
